id,food,serving_size_g,calories_kcal,protein_g,fat_g,carbohydrates_g,vitamin_a_mg,vitamin_b6_mg,vitamin_b12_mg,vitamin_c_mg,vitamin_d_mg,vitamin_e_mg,calcium_mg,iron_mg,potassium_mg,magnesium_mg,selenium_mg,zinc_mg,iodine_mg,allergens
59,"Sorghum grain, raw",100,329,11.3,3.3,72.1,0,0.44,0,0,0,0.12,13,4.4,363,165,0,1.7,0,none (gluten-free)
60,"Amaranth grain, raw",100,371,13.6,7.0,65.2,0,0.59,0,0,0,1.5,159,7.6,508,248,0,2.9,0,none (gluten-free)
61,"Chia seeds, raw",100,486,16.5,30.7,42.1,0,0.62,0,1.6,0,0.5,631,7.7,407,335,0,4.6,0,none
62,"Flax seeds, raw",100,534,18.3,42.2,28.9,0,0.47,0,0.6,0,0.31,255,5.7,813,392,0,4.3,0,none
63,"Sesame seeds, raw",100,573,17.7,49.7,23.4,0,0.79,0,0,0,0.25,975,14.6,468,351,0,7.8,0,none
64,"Poppy seeds, raw",100,525,17.9,41.6,28.1,0,0.25,0,1.0,0,1.8,1438,9.8,719,347,0,7.9,0,none
66,"Beef liver, raw",100,135,20.4,3.6,4.8,9.44,1.0,0.070,27,0,0.36,5,6.2,313,18,0.039,4.0,0,none
67,"Pork liver, raw",100,134,21.4,3.6,3.8,8.33,0.9,0.026,25,0,0.22,9,17.9,334,18,0.045,6.0,0,none
68,"Chicken liver, raw",100,119,16.9,4.8,0.9,3.29,0.9,0.017,17.9,0,0.70,8,9.0,230,19,0.055,3.5,0,none
69,"Duck meat, raw",100,337,19.0,28.4,0,0.02,0.25,0.0004,0,0,0.23,11,2.7,204,19,0.018,2.1,0,none
70,"Goose meat, raw",100,305,16.4,28.6,0,0.01,0.27,0.0003,0,0,0.25,9,2.4,240,20,0.020,1.9,0,none
71,"Rabbit meat, raw",100,173,33.0,3.5,0,0,0.46,0.0002,0,0,0.15,17,3.2,343,29,0.030,2.4,0,none
72,"Venison (deer), raw",100,158,22.0,3.2,0,0,0.58,0.0010,0,0,0.25,6,4.0,318,22,0.018,2.9,0,none
73,"Horse meat, raw",100,133,21.0,5.0,0,0,0.45,0.0008,0,0,0.20,9,3.6,320,25,0.016,2.7,0,none
74,"Duck egg, whole, raw",100,185,13.0,14.0,1.5,0.14,0.17,0.0037,0,0.002,1.34,64,3.9,222,17,0.037,1.4,0.020,egg
75,"Quail egg, whole, raw",100,158,13.1,11.0,0.4,0.16,0.14,0.0015,0,0.001,1.08,64,3.6,132,13,0.032,1.5,0.015,egg
77,"Goat milk, whole, raw",100,69,3.6,4.1,4.5,0.041,0.05,0.0001,1.3,0.0001,0.07,134,0.1,204,14,0.002,0.3,0.016,milk
78,"Sheep milk, whole, raw",100,95,5.5,6.0,4.8,0.060,0.07,0.0004,4.0,0.0002,0.10,193,0.1,200,18,0.003,0.4,0.020,milk
79,"Camel milk, whole, raw",100,70,3.5,3.6,4.8,0.045,0.04,0.0002,3.0,0.0001,0.08,120,0.1,150,15,0.002,0.3,0.018,milk
80,"Cheese, mozzarella, whole milk",100,300,22.0,22.0,2.2,0.27,0.07,0.001,0,0.0005,0.65,505,0.5,95,27,0.013,2.9,0.025,milk
81,"Cheese, feta",100,264,14.2,21.5,4.1,0.15,0.05,0.001,0,0.0002,0.25,493,0.6,62,19,0.010,2.3,0.020,milk
82,"Cheese, parmesan",100,431,38.0,29.0,4.1,0.28,0.10,0.001,0,0.0006,0.75,1184,0.9,180,44,0.015,3.2,0.030,milk
83,"Yogurt, low fat, plain",100,63,5.3,1.6,7.0,0.02,0.05,0.0004,0.9,0.0001,0.02,183,0.1,234,17,0.002,0.4,0.015,milk
84,"Kefir, plain, low fat",100,41,3.3,1.0,4.7,0.02,0.06,0.0005,1.4,0.0001,0.04,120,0.1,150,12,0.002,0.3,0.016,milk
85,"Cream, heavy (36% fat)",100,340,2.0,36.0,3.0,0.09,0.02,0.0002,0,0.0004,0.68,66,0.1,105,9,0.001,0.2,0.015,milk
86,"Ice cream, vanilla",100,207,3.5,11.0,24.0,0.04,0.03,0.0003,0,0.0002,0.30,128,0.1,199,16,0.001,0.3,0.020,"milk, egg"
88,"Bread, white",100,266,8.0,3.3,49.0,0,0.10,0,0,0,0.20,144,3.6,115,23,0,1.1,0,wheat (gluten)
89,"Bread, whole wheat",100,247,12.0,4.2,41.0,0,0.15,0,0,0,0.30,107,3.9,230,82,0,2.7,0,wheat (gluten)
90,"Pasta, white, dry",100,371,13.0,1.5,75.0,0,0.15,0,0,0,0.10,21,3.3,223,50,0,1.5,0,wheat (gluten)
91,"Pasta, whole wheat, dry",100,348,15.0,2.0,72.0,0,0.20,0,0,0,0.20,30,3.9,320,120,0,2.8,0,wheat (gluten)
92,"Bagel, plain",100,275,10.0,1.5,56.0,0,0.14,0,0,0,0.15,160,3.6,130,28,0,1.2,0,wheat (gluten)
93,"Croissant, butter",100,406,8.0,21.0,45.0,0.01,0.10,0,0,0,0.30,33,2.0,150,20,0,0.8,0,"wheat (gluten), milk, egg"
94,"Tortilla, corn",100,218,5.7,2.9,44.0,0,0.11,0,0,0,0.05,81,1.0,220,50,0,1.0,0,none (gluten-free)
95,"Tortilla, wheat",100,306,8.0,7.0,50.0,0,0.15,0,0,0,0.25,124,3.5,220,60,0,1.5,0,wheat (gluten)
96,"Pizza dough, raw",100,273,9.0,3.0,50.0,0,0.10,0,0,0,0.20,110,3.0,160,30,0,1.2,0,wheat (gluten)
97,"Crackers, plain",100,502,9.0,24.0,64.0,0,0.08,0,0,0,0.40,52,4.0,200,45,0,2.0,0,wheat (gluten)
99,Honey,100,304,0.3,0,82.4,0,0,0,0.5,0,0,6,0.4,52,2,0,0,0,none
100,"Sugar, white",100,387,0,0,100,0,0,0,0,0,0,1,0,2,0,0,0,0,none
101,"Sugar, brown",100,380,0.1,0,98.0,0,0,0,0,0,0,83,0.7,346,29,0,0.1,0,none
102,"Chocolate, dark, 70-85% cocoa",100,598,7.8,42.6,45.9,0.002,0.03,0,0,0,0.80,73,11.9,715,228,0,3.3,0,"milk, soy"
103,"Chocolate, milk",100,535,7.6,29.7,59.4,0.025,0.05,0,0,0,0.60,189,2.4,372,63,0,2.0,0,"milk, soy"
104,"Cocoa powder, unsweetened",100,228,19.6,13.7,57.9,0,0.12,0,0,0,0.10,128,14.6,1524,499,0,6.8,0,none
105,"Coffee, instant powder",100,247,15.0,0.5,75.0,0,0.03,0,0,0,0,141,4.1,3535,327,0,0.5,0,none
106,"Tea, black, leaves, dry",100,325,20.0,2.0,64.0,0,0.005,0,0,0,0.10,1,18.0,2500,230,0,0.3,0,none
107,"Wine, red",100,85,0.1,0,2.6,0,0,0,0,0,0,8,0.5,127,12,0,0.1,0,none (alcohol)
108,"Beer, regular",100,43,0.5,0,3.6,0,0,0,0,0,0,4,0,27,6,0,0,0,"none (alcohol, gluten)"
110,Whiskey,100,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alcohol
111,Vodka,100,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alcohol
112,Gin,100,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alcohol
113,Rum,100,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alcohol
114,"Chicken soup, homemade",100,36,2.5,1.5,3.0,0.01,0.05,0.0002,0.5,0,0.10,9,0.3,60,6,0,0.2,0,none
115,"Vegetable soup, homemade",100,28,1.0,0.5,5.0,0.05,0.06,0,3.0,0,0.20,12,0.4,150,8,0,0.3,0,none
116,"Beef broth, homemade",100,7,1.0,0.2,0.4,0,0.01,0.0001,0,0,0,4,0.1,20,2,0,0.1,0,none
117,"Rice porridge, plain",100,97,2.0,0.2,21.0,0,0.05,0,0,0,0.05,10,0.3,40,8,0,0.1,0,none (gluten-free)
118,"Oatmeal porridge, plain",100,71,2.5,1.5,12.0,0,0.07,0,0,0,0.10,80,0.7,100,27,0,0.6,0,none (may contain gluten)
119,"Cornflakes, plain",100,357,7.5,0.4,84.0,0,0.40,0,0,0,0.10,10,8.0,90,30,0,0.7,0,none (may contain gluten)
120,"Muesli, plain",100,356,9.0,6.0,69.0,0,0.35,0,0,0,0.50,35,3.0,340,110,0,2.1,0,"none (may contain gluten, nuts)"
121,"Granola, plain",100,471,10.0,20.0,64.0,0,0.50,0,0,0,0.80,50,3.5,350,120,0,2.4,0,"none (may contain gluten, nuts)"
122,"French fries, deep-fried",100,312,3.4,15.0,41.0,0,0.35,0,4.7,0,1.2,18,0.7,579,40,0,0.5,0,none
123,"Potato chips, salted",100,536,7.0,35.0,53.0,0,0.45,0,0,0,3.5,24,1.2,1535,70,0,1.1,0,none
124,"Popcorn, air-popped",100,387,13.0,4.5,78.0,0,0.40,0,0,0,0.30,10,3.5,300,130,0,2.0,0,none
125,"Pizza, margherita",100,266,11.0,10.0,33.0,0.02,0.10,0,2.0,0,0.50,188,2.6,230,28,0,1.5,0,"wheat (gluten), milk"
126,"Hamburger, plain",100,254,12.0,9.0,30.0,0.01,0.20,0.0002,0.5,0,0.40,70,2.5,210,25,0.011,2.2,0,wheat (gluten)
127,"Hot dog, plain",100,290,10.0,26.0,2.0,0.01,0.25,0.0005,0,0,0.30,70,2.8,180,18,0.015,2.0,0,"wheat (gluten), milk"
128,"Sandwich, ham & cheese",100,240,12.0,9.0,28.0,0.02,0.15,0.0002,0.5,0,0.40,150,2.5,220,22,0.012,2.0,0,"wheat (gluten), milk"
129,"Taco, beef",100,226,11.0,12.0,18.0,0.01,0.20,0.0003,0.5,0,0.30,110,2.2,280,26,0.014,1.8,0,wheat (gluten)
131,"Burrito, beef",100,238,11.0,10.0,26.0,0.01,0.22,0.0003,0.5,0,0.35,130,2.6,250,30,0.015,1.9,0,"wheat (gluten), milk"
132,"Enchilada, cheese",100,205,9.0,9.0,22.0,0.02,0.15,0.0002,0.5,0,0.40,180,2.3,210,25,0.013,1.8,0,"wheat (gluten), milk"
133,"Falafel, fried",100,333,13.0,17.0,31.0,0,0.35,0,1.0,0,0.20,60,3.4,585,82,0,2.5,0,"none (may contain gluten, sesame)"
134,"Hummus, plain",100,166,8.0,9.6,14.0,0,0.14,0,0.5,0,0.10,41,2.4,379,71,0,1.5,0,sesame
135,"Shawarma, chicken",100,239,17.0,14.0,8.0,0.01,0.20,0.0003,1.0,0,0.30,40,1.5,280,26,0.012,2.0,0,wheat (gluten)
136,"Kebab, lamb",100,282,18.0,22.0,3.0,0.01,0.25,0.0004,0,0,0.25,50,2.6,290,27,0.014,2.1,0,none
137,"Sushi, salmon",100,143,9.0,5.0,18.0,0.01,0.10,0.001,0,0.001,0.20,15,1.0,170,22,0.010,0.8,0.020,fish
138,"Sushi, tuna",100,130,10.0,4.0,17.0,0.01,0.15,0.002,0,0.001,0.25,20,1.1,180,25,0.015,1.0,0.030,fish
139,"Tempura, vegetables",100,175,3.5,9.0,20.0,0.02,0.10,0,2.0,0,0.30,25,1.0,190,18,0,0.6,0,"wheat (gluten), egg"
140,"Ramen, instant, prepared",100,436,10.0,18.0,60.0,0.01,0.25,0,0,0,0.20,20,3.5,180,40,0,1.3,0,"wheat (gluten), soy"
141,"Dumplings, pork",100,223,10.0,7.0,30.0,0.01,0.20,0.0004,1.0,0,0.25,25,2.3,190,20,0.011,1.5,0,wheat (gluten)
142,"Spring roll, vegetable",100,154,4.0,6.0,22.0,0.02,0.10,0,3.0,0,0.30,30,1.1,160,15,0,0.5,0,wheat (gluten)
143,"Curry, chicken",100,150,12.0,8.0,7.0,0.02,0.25,0.0003,2.0,0,0.35,40,1.6,230,20,0.012,1.7,0,none
144,"Curry, vegetable",100,120,3.0,6.0,15.0,0.05,0.20,0,8.0,0,0.50,35,1.3,250,30,0,1.1,0,none
145,Pad Thai,100,220,9.0,10.0,25.0,0.01,0.20,0.0002,2.0,0,0.40,45,1.5,240,22,0,1.2,0,"wheat (gluten), egg, peanut"
146,"Pho, beef",100,90,5.0,3.0,10.0,0.01,0.10,0.0002,2.0,0,0.20,30,1.2,120,15,0,1.0,0,wheat (gluten)
147,Kimchi,100,23,2.0,0.5,4.0,0.03,0.15,0,17.0,0,0.70,33,1.6,240,22,0,0.8,0,none
148,Miso soup,100,40,3.0,1.5,5.0,0.01,0.08,0,0.5,0,0.20,25,1.2,130,18,0,0.7,0,soy
149,"Couscous, dry",100,376,12.8,0.6,77.4,0,0.15,0,0,0,0.05,24,1.1,170,44,0,1.0,0,wheat (gluten)
150,Tabbouleh,100,88,3.0,4.0,12.0,0.01,0.12,0,7.0,0,0.25,30,1.0,180,20,0,0.6,0,wheat (gluten)
152,"Paella, seafood",100,158,8.0,6.0,18.0,0.01,0.15,0.001,1.0,0.001,0.40,25,1.5,180,20,0.020,1.1,0.030,"fish, shellfish, wheat (gluten)"
153,"Risotto, mushroom",100,130,3.0,5.0,18.0,0.01,0.12,0,0.5,0,0.20,22,1.0,150,18,0,0.7,0,"wheat (gluten), milk"
154,"Lasagna, meat",100,135,8.0,6.0,14.0,0.02,0.18,0.0004,1.0,0,0.30,90,1.8,190,20,0,1.3,0,"wheat (gluten), milk"
155,Macaroni and cheese,100,164,7.0,9.0,15.0,0.02,0.12,0.0002,0,0,0.40,130,1.2,160,18,0,1.1,0,"wheat (gluten), milk"
156,Spaghetti bolognese,100,130,6.0,5.0,16.0,0.01,0.15,0.0003,1.0,0,0.25,70,1.5,180,19,0,1.0,0,wheat (gluten)
157,"Ravioli, cheese",100,220,10.0,9.0,27.0,0.02,0.14,0.0002,0.5,0,0.35,150,2.0,210,22,0,1.4,0,"wheat (gluten), milk, egg"
158,"Gnocchi, potato",100,130,3.0,0.5,28.0,0,0.08,0,3.0,0,0.10,18,0.7,260,22,0,0.6,0,"wheat (gluten), egg"
159,Focaccia bread,100,249,8.0,7.0,41.0,0,0.10,0,0,0,0.30,20,2.8,150,18,0,0.8,0,wheat (gluten)
160,Pita bread,100,275,9.0,1.0,55.0,0,0.11,0,0,0,0.20,144,3.5,170,20,0,1.0,0,wheat (gluten)
161,Naan bread,100,310,10.0,6.0,54.0,0,0.12,0,0,0,0.25,120,3.8,200,22,0,1.2,0,"wheat (gluten), milk"
162,"Croquette, potato",100,140,2.0,6.0,20.0,0,0.09,0,2.0,0,0.20,15,0.6,170,16,0,0.5,0,"wheat (gluten), egg"
163,Shepherd’s pie,100,140,7.0,6.0,15.0,0.01,0.15,0.0003,2.0,0,0.25,45,1.4,180,20,0,1.0,0,"wheat (gluten), milk"
164,Fish and chips,100,230,12.0,11.0,20.0,0.01,0.12,0.0015,2.0,0.001,0.30,40,1.7,250,22,0.030,1.2,0.040,"fish, wheat (gluten)"
165,Clam chowder,100,85,4.0,3.0,10.0,0.01,0.08,0.005,2.0,0.001,0.25,25,1.3,150,18,0.028,0.9,0.050,"shellfish, milk"
166,Chili con carne,100,120,8.0,5.0,12.0,0.01,0.20,0.0004,5.0,0,0.20,40,2.2,300,25,0,1.2,0,none
167,"Stew, beef",100,105,8.0,4.0,9.0,0.01,0.18,0.0003,3.0,0,0.15,30,2.0,250,22,0,1.1,0,none
168,"Stew, vegetable",100,70,2.0,3.0,9.0,0.02,0.15,0,8.0,0,0.25,35,1.0,270,28,0,0.7,0,none
169,"Casserole, chicken",100,110,9.0,5.0,7.0,0.01,0.16,0.0002,2.0,0,0.20,40,1.4,230,20,0,1.0,0,none
170,"Casserole, tuna",100,125,10.0,6.0,8.0,0.01,0.12,0.001,0,0.001,0.25,45,1.3,240,22,0.022,1.1,0.030,"fish, wheat (gluten), milk"
171,"Quiche, spinach",100,140,8.0,9.0,10.0,0.04,0.15,0.0004,5.0,0.0005,0.30,100,1.7,280,26,0,1.4,0,"wheat (gluten), egg, milk"
173,"Pancakes, plain",100,227,6.0,10.0,28.0,0.01,0.12,0,0,0,0.20,180,2.5,180,20,0,0.8,0,"wheat (gluten), milk, egg"
174,"Waffles, plain",100,291,7.0,12.0,37.0,0.01,0.14,0,0,0,0.30,220,3.0,210,22,0,1.0,0,"wheat (gluten), milk, egg"
175,French toast,100,229,8.0,11.0,25.0,0.02,0.15,0.0003,0,0,0.25,100,2.7,170,18,0,1.2,0,"wheat (gluten), milk, egg"
176,"Doughnut, glazed",100,452,5.0,25.0,50.0,0.01,0.10,0,0,0,0.20,40,2.0,140,15,0,0.6,0,"wheat (gluten), milk, egg"
177,"Muffin, blueberry",100,333,4.5,12.0,53.0,0.01,0.08,0,1.0,0,0.15,70,1.5,120,14,0,0.5,0,"wheat (gluten), milk, egg"
178,"Brownie, chocolate",100,405,4.0,22.0,52.0,0.01,0.06,0,0,0,0.20,40,2.5,210,20,0,0.9,0,"wheat (gluten), milk, egg, soy"
179,"Cake, sponge",100,297,5.0,12.0,42.0,0.02,0.10,0,0,0,0.10,50,1.5,130,15,0,0.6,0,"wheat (gluten), milk, egg"
180,"Cake, chocolate",100,389,5.0,17.0,56.0,0.02,0.09,0,0,0,0.25,60,2.0,190,20,0,0.8,0,"wheat (gluten), milk, egg, soy"
181,"Pie, apple",100,237,2.5,11.0,34.0,0.01,0.05,0,2.0,0,0.10,20,1.0,120,10,0,0.4,0,"wheat (gluten), milk, egg"
182,"Pie, pumpkin",100,243,3.0,12.0,32.0,0.08,0.06,0,4.0,0,0.15,50,1.2,180,15,0,0.5,0,"wheat (gluten), milk, egg"
183,"Pie, cherry",100,260,2.5,12.0,37.0,0.01,0.04,0,3.0,0,0.10,18,1.0,140,12,0,0.3,0,"wheat (gluten), milk, egg"
184,"Custard, vanilla",100,122,4.0,3.5,18.0,0.05,0.07,0.0002,0,0,0.10,120,0.4,150,12,0,0.2,0,"milk, egg"
185,"Pudding, chocolate",100,130,2.5,3.0,23.0,0.01,0.05,0,0,0,0.15,110,0.4,140,10,0,0.3,0,milk
186,"Ice pop, fruit",100,90,0.5,0.2,22.0,0.01,0.01,0,6.0,0,0.05,10,0.2,40,5,0,0,0,none
187,"Jelly, fruit",100,250,0,0,62.0,0,0,0,0,0,0,8,0.1,20,2,0,0,0,none
188,"Jam, strawberry",100,278,0.3,0.2,67.0,0.01,0.01,0,8.0,0,0.10,16,0.2,120,7,0,0,0,none
189,Honey cake,100,340,5.0,12.0,55.0,0.01,0.08,0,0,0,0.20,45,1.3,130,15,0,0.5,0,"wheat (gluten), milk, egg"
190,Marshmallows,100,318,1.0,0.1,81.0,0,0,0,0,0,0,3,0.1,5,2,0,0,0,none (may contain egg)
191,"Candy, hard, fruit",100,394,0,0.1,98.0,0,0,0,0,0,0,4,0.2,2,1,0,0,0,none
192,"Candy, chocolate bar",100,535,6.0,30.0,59.0,0.01,0.05,0,0,0,0.40,200,2.2,450,60,0,1.2,0,"milk, soy, peanut"
194,"Cookies, chocolate chip",100,488,5.0,24.0,64.0,0.01,0.05,0,0,0,0.30,40,2.5,220,25,0,0.9,0,"wheat (gluten), milk, egg, soy"
195,"Cookies, oatmeal",100,450,6.0,18.0,68.0,0.01,0.06,0,0,0,0.25,50,2.8,240,28,0,1.0,0,"wheat (gluten), milk, egg"
196,"Cookies, sugar",100,502,4.5,24.0,72.0,0.01,0.04,0,0,0,0.20,35,1.8,210,20,0,0.7,0,"wheat (gluten), milk, egg"
197,"Biscuit, plain",100,353,7.0,12.0,54.0,0.01,0.08,0,0,0,0.15,140,2.6,180,20,0,0.8,0,"wheat (gluten), milk"
198,"Croissant, chocolate",100,406,7.0,21.0,45.0,0.01,0.09,0,0,0,0.25,50,2.3,160,18,0,0.7,0,"wheat (gluten), milk, egg, soy"
199,Danish pastry,100,418,5.0,22.0,50.0,0.01,0.08,0,0,0,0.30,45,2.0,150,15,0,0.6,0,"wheat (gluten), milk, egg"
